threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
44.21,SLHi,0.9989730950913945,0.73828125,98.3219660280681,17.066666666666666
44.21,SE1,0.9972482113373693,0.7466887417218543,38.73251703523291,6.837735849056604
44.21,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
46.22,neg_control,0.9982070820259973,0.8199371351594072,13.343163426454383,3.227536231884058
46.22,S-UNT,0.998734604352961,0.7379423937832588,148.60510305543312,23.941354903943378
46.22,SLN1,0.9996848408446265,0.7317150063051703,66.70091359115166,11.12982456140351
46.22,SLHi,0.9991784760731156,0.7383350462487153,98.47830724798538,17.07017543859649
46.22,SE1,0.9983489268024216,0.74696802646086,39.06989375113936,6.845283018867924
46.22,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
48.23,neg_control,0.9991035410129987,0.819650067294751,13.480931780037581,3.2304347826086954
48.23,S-UNT,0.9991142230470728,0.7379575294465318,149.0361859506639,23.950455005055613
48.23,SLN1,1.0,0.7317995587771825,66.86387428555797,11.133333333333333
48.23,SLHi,0.9991784760731156,0.7383350462487153,98.47830724798538,17.07017543859649
48.23,SE1,0.9988992845349477,0.7465564738292011,39.24532414966423,6.849056603773585
48.23,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
