polymer_idx,grid_row,grid_col,jpg_filename,source_stem,eval_h,eval_w,eval_diag_px,manual_len_px,was_clipped,start_xy_raw,end_xy_raw,start_xy_clipped,end_xy_clipped
22,1,9,G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,G21_03_1_14_Bright Field_001,65,65,91.92388155425118,17.029386365926403,False,"[2437.5, 388.5]","[2424.5, 377.5]","[2437.5, 388.5]","[2424.5, 377.5]"
23,1,7,G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,G21_03_1_11_Bright Field_001,96,96,135.7645019878171,40.049968789001575,False,"[1946.5, 377.5]","[1906.5, 375.5]","[1946.5, 377.5]","[1906.5, 375.5]"
24,1,7,G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,G21_03_1_11_Bright Field_001,96,96,135.7645019878171,28.071337695236398,False,"[1944.5, 386.5]","[1916.5, 388.5]","[1944.5, 386.5]","[1916.5, 388.5]"
25,1,7,G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,G21_03_1_11_Bright Field_001,96,96,135.7645019878171,29.154759474226502,False,"[1943.5, 390.5]","[1916.5, 401.5]","[1943.5, 390.5]","[1916.5, 401.5]"
26,1,6,G21_03_1_10_Bright Field_002__y1780_x246_h128_w128.jpg,G21_03_1_10_Bright Field_002,128,128,181.01933598375618,85.14693182963201,False,"[1673.5, 341.5]","[1654.5, 424.5]","[1673.5, 341.5]","[1654.5, 424.5]"
27,2,9,H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,H20_03_1_10_Bright Field_001,107,107,151.32085117392117,64.41273166075166,False,"[2417.5, 669.5]","[2447.5, 612.5]","[2417.5, 669.5]","[2447.5, 612.5]"
28,2,9,H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,H20_03_1_10_Bright Field_001,107,107,151.32085117392117,53.33854141237835,False,"[2425.5, 672.5]","[2471.5, 645.5]","[2425.5, 672.5]","[2471.5, 645.5]"
29,3,9,H20_03_1_1_Bright Field_001__y626_x516_h64_w64.jpg,H20_03_1_1_Bright Field_001,64,64,90.50966799187809,19.822623200084795,True,"[2457.5, 915.5]","[2441.5, 928.5]","[2457.5, 915.5]","[2442.1153846153848, 928.0]"
30,2,8,G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,G21_03_1_8_Bright Field_001,66,66,93.33809511662427,19.738540979515246,True,"[2198.5, 620.5]","[2182.5, 605.5]","[2198.5, 620.5]","[2184.1, 607.0]"
31,2,8,G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,G21_03_1_8_Bright Field_001,66,66,93.33809511662427,21.095023109728988,False,"[2194.5, 625.5]","[2173.5, 623.5]","[2194.5, 625.5]","[2173.5, 623.5]"
32,2,8,G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,G21_03_1_8_Bright Field_001,66,66,93.33809511662427,20.396078054371138,False,"[2192.5, 639.5]","[2172.5, 643.5]","[2192.5, 639.5]","[2172.5, 643.5]"
33,3,8,H20_03_1_16_Bright Field_002__y151_x1431_h98_w98.jpg,H20_03_1_16_Bright Field_002,98,98,138.59292911256333,90.68627239003708,False,"[2154.5, 874.5]","[2222.5, 934.5]","[2154.5, 874.5]","[2222.5, 934.5]"
